专家,打分,标准
评审专家44,75,67.03
评审专家44,63,42.02
评审专家25,63,52.66
评审专家40,72,56.23
评审专家20,60,50.47
评审专家36,70,55.45
评审专家20,55,45.99
评审专家45,71,64.75
评审专家44,71,58.70
评审专家31,60,44.29
评审专家41,65,48.96
评审专家45,57,48.79
评审专家18,55,40.98
评审专家23,66,51.22
评审专家34,64,49.88
评审专家17,75,55.84
评审专家9,50,43.61
评审专家13,56,41.97
评审专家30,53,45.47
评审专家22,70,51.22
评审专家32,68,54.06
评审专家18,60,46.64
评审专家6,55,39.09
评审专家42,58,47.29
评审专家31,59,43.32
评审专家12,75,64.12
评审专家24,55,35.51
评审专家10,60,50.69
评审专家24,66,48.56
评审专家29,57,43.15
评审专家20,60,50.47
评审专家12,62,51.00
评审专家18,70,57.96
评审专家1,77,60.74
评审专家21,60,55.93
评审专家39,82,67.67
评审专家29,60,46.68
评审专家4,65,48.74
评审专家32,67,52.71
评审专家31,62,46.22
评审专家7,65,48.01
评审专家13,78,68.18
评审专家19,65,47.50
评审专家10,70,62.62
评审专家9,51,44.56
评审专家24,56,36.70
评审专家15,72,59.10
评审专家36,70,55.45
评审专家22,85,62.35
评审专家21,60,55.93
评审专家10,55,44.73
评审专家2,59,41.34
评审专家45,56,47.65
评审专家8,67,52.17
评审专家40,65,47.41
评审专家34,72,61.41
评审专家29,64,51.38
评审专家20,55,45.99
评审专家5,60,41.09
评审专家34,62,46.99
评审专家29,60,46.68
评审专家15,57,40.07
评审专家43,62,49.41
评审专家30,50,40.50
评审专家11,61,42.86
评审专家3,67,47.68
评审专家28,72,58.49
评审专家23,63,47.80
评审专家26,53,42.53
评审专家13,52,37.21
评审专家25,53,41.30
评审专家2,70,52.00
评审专家13,62,49.12
评审专家16,64,48.50
评审专家24,62,43.82
评审专家8,73,59.52
评审专家28,66,49.42
评审专家6,58,44.22
评审专家37,54,42.10
评审专家41,70,56.42
评审专家35,71,60.04
评审专家35,68,54.65
评审专家42,72,59.20
评审专家6,60,47.63
评审专家10,55,44.73
评审专家42,54,43.89
评审专家9,54,47.40
评审专家14,50,39.94
评审专家40,73,57.49
评审专家19,65,47.50
评审专家27,60,45.46
评审专家13,72,61.03
评审专家33,61,41.74
评审专家3,65,44.37
评审专家32,59,41.93
评审专家32,74,62.15
评审专家26,57,48.52
评审专家39,62,41.66
评审专家27,58,42.28
评审专家35,62,43.87
评审专家44,63,42.02
评审专家33,68,52.65
评审专家1,65,45.81
评审专家11,68,52.53
评审专家25,55,43.58
评审专家16,54,57.67
评审专家44,65,46.19
评审专家5,82,65.42
评审专家33,66,49.53
评审专家20,85,50.00
评审专家1,66,47.05
评审专家15,62,46.41
评审专家3,79,67.54
评审专家21,60,55.93
评审专家4,68,53.73
评审专家20,55,45.99
评审专家22,62,45.28
评审专家22,71,51.96
评审专家42,60,48.99
评审专家6,61,49.34
评审专家45,50,40.82
评审专家43,62,49.41
评审专家41,63,45.98
评审专家23,69,54.64
评审专家12,68,57.05
评审专家12,52,40.90
评审专家38,80,72.79
评审专家27,61,47.05
评审专家32,64,48.67
评审专家13,55,40.78
评审专家1,55,33.37
评审专家40,66,48.67
评审专家15,77,65.44
评审专家9,42,36.02
评审专家11,58,38.71
评审专家34,60,44.11
评审专家34,67,54.20
评审专家31,61,45.26
评审专家42,43,34.53
评审专家5,70,52.15
评审专家17,58,32.45
评审专家34,57,39.78
评审专家15,61,45.14
评审专家9,48,41.71
评审专家3,75,60.92
评审专家7,70,55.39
评审专家18,58,44.37
评审专家17,71,50.33
评审专家12,50,38.88
评审专家45,51,41.96
评审专家1,68,49.54
评审专家6,72,68.13
评审专家17,68,46.21
评审专家28,61,41.85
评审专家20,65,54.94
评审专家45,44,33.98
评审专家24,68,50.93
评审专家7,56,34.73
评审专家1,69,50.78
评审专家17,77,58.59
评审专家32,66,51.37
评审专家1,59,38.34
评审专家3,76,62.57
评审专家17,69,47.58
评审专家6,60,47.63
评审专家42,45,53.00
评审专家12,45,33.83
评审专家25,71,61.75
评审专家19,72,59.13
评审专家29,65,52.55
评审专家32,69,55.41
评审专家30,65,65.38
评审专家34,62,46.99
评审专家7,76,64.25
评审专家10,55,44.73
评审专家1,68,49.54
评审专家41,63,45.98
评审专家5,79,62.11
评审专家6,58,44.22
评审专家25,64,53.80
评审专家23,64,48.94
评审专家35,78,72.62
评审专家13,67,55.08
评审专家28,73,60.01
评审专家19,59,37.53
评审专家9,59,52.14
评审专家2,64,50.10
评审专家9,53,46.45
评审专家8,69,54.62
评审专家6,62,51.05
评审专家10,50,38.76
评审专家7,58,37.68
评审专家2,64,50.10
评审专家5,60,60.00
评审专家42,81,66.86
评审专家24,62,43.82
评审专家31,57,41.39
评审专家45,70,63.61
评审专家27,53,34.33
评审专家5,55,35.55
评审专家44,64,44.10
评审专家2,70,60.61
评审专家10,65,56.66
评审专家2,59,41.34
评审专家16,65,49.58
评审专家8,83,71.77
评审专家41,58,38.53
评审专家28,63,44.88
评审专家44,64,44.10
评审专家15,72,59.10
评审专家17,72,51.71
评审专家25,55,43.58
评审专家16,69,53.91
评审专家17,80,62.72
评审专家4,75,65.35
评审专家44,72,60.78
评审专家34,56,38.34
评审专家30,55,48.79
评审专家20,45,37.04
评审专家43,56,41.72
评审专家17,76,57.21
评审专家36,65,46.06
评审专家24,65,47.37
评审专家4,69,55.39
评审专家44,57,49.51
评审专家41,68,53.43
评审专家5,62,43.30
评审专家22,74,54.19
评审专家10,65,56.66
评审专家17,75,55.84
评审专家16,66,50.66
评审专家1,70,52.03
评审专家10,50,38.76
评审专家1,79,63.22
评审专家4,65,48.74
评审专家34,65,51.32
评审专家14,54,44.71
评审专家23,58,42.10
评审专家23,68,53.50
评审专家15,59,42.61
评审专家21,54,44.45
评审专家33,62,43.30
评审专家12,58,46.96
评审专家7,67,50.96
评审专家19,63,44.17
评审专家7,66,49.49
评审专家31,73,56.84
评审专家14,52,52.00
评审专家20,65,54.94
评审专家28,69,53.95
评审专家17,78,59.97
评审专家7,68,52.44
评审专家5,76,58.79
评审专家1,62,42.07
评审专家16,67,51.75
评审专家6,58,44.22
评审专家24,73,56.86
评审专家35,62,43.87
评审专家1,78,61.98
评审专家20,53,44.20
评审专家7,65,48.01
评审专家23,55,38.69
评审专家41,63,45.98
评审专家5,70,52.15
评审专家38,51,38.32
评审专家8,53,35.02
评审专家16,49,64.00
评审专家43,67,55.82
评审专家6,55,39.09
评审专家42,51,41.33
评审专家2,64,50.10
评审专家36,70,55.45
评审专家16,60,44.17
评审专家21,54,44.45
评审专家18,65,52.30
评审专家14,53,43.51
评审专家16,49,32.26
评审专家14,60,51.86
评审专家16,49,32.26
评审专家2,69,58.86
评审专家30,58,53.77
评审专家1,57,35.85
评审专家1,60,39.59
评审专家41,72,59.40
评审专家21,52,40.63
评审专家16,49,43.26
评审专家37,64,54.78
评审专家23,62,46.66
评审专家40,71,54.97
评审专家17,69,47.58
评审专家2,55,34.33
评审专家32,66,51.37
评审专家5,64,45.51
评审专家37,60,49.71
评审专家36,75,64.84
评审专家3,62,39.41
评审专家23,59,43.24
评审专家40,80,66.32
评审专家18,52,37.58
评审专家44,67,50.36
评审专家18,72,60.22
评审专家21,56,48.28
评审专家27,72,64.53
评审专家17,72,51.71
评审专家23,61,45.52
评审专家16,69,53.91
评审专家9,50,43.61
评审专家29,70,58.43
评审专家35,66,51.05
评审专家4,69,55.39
评审专家2,65,51.85
评审专家14,58,49.47
评审专家3,67,47.68
评审专家1,73,55.76
评审专家1,73,55.76
评审专家26,60,53.02
评审专家37,49,35.76
评审专家27,58,42.28
评审专家12,60,48.98
评审专家42,52,42.19
评审专家26,50,38.03
评审专家23,54,37.55
评审专家3,60,36.10
评审专家7,65,48.01
评审专家11,60,41.48
评审专家40,70,53.71
评审专家34,65,51.32
评审专家4,52,40.00
评审专家28,68,52.44
评审专家32,63,47.32
评审专家27,63,50.23
评审专家32,59,57.00
评审专家30,54,47.13
评审专家2,57,37.84
评审专家33,67,51.09
评审专家40,68,51.19
评审专家23,61,45.52
评审专家31,63,47.19
评审专家37,48,34.49
评审专家26,59,51.52
评审专家14,58,49.47
评审专家43,55,40.44
评审专家15,60,43.87
评审专家25,55,43.58
评审专家22,40,28.95
评审专家25,64,53.80
评审专家45,66,59.05
评审专家2,67,55.36
评审专家10,45,45.00
评审专家41,74,55.00
评审专家25,54,42.44
评审专家34,70,50.00
评审专家17,59,33.82
评审专家1,76,59.49
评审专家5,61,42.19
评审专家6,57,42.51
评审专家37,57,45.90
评审专家9,48,41.71
评审专家25,63,52.66
评审专家11,65,48.38
评审专家29,56,41.97
评审专家19,67,50.82
评审专家26,64,59.02
评审专家19,71,57.46
评审专家10,55,44.73
评审专家21,56,48.28
评审专家15,75,62.90
评审专家6,58,44.22
评审专家6,52,33.97
评审专家11,60,41.48
评审专家21,58,52.10
评审专家34,66,52.76
评审专家21,60,55.93
评审专家24,66,48.56
评审专家7,78,67.20
评审专家37,60,49.71
评审专家32,65,50.02
评审专家23,45,27.29
评审专家4,78,65.00
评审专家12,52,40.90
评审专家26,54,44.02
评审专家18,60,46.64
评审专家41,63,45.98
评审专家5,59,39.98
评审专家44,74,64.95
评审专家12,62,51.00
评审专家32,69,55.41
评审专家43,60,46.85
评审专家34,64,49.88
评审专家32,60,43.28
评审专家7,64,46.53
评审专家42,71,58.35
评审专家36,75,64.84
评审专家1,74,57.00
评审专家42,54,43.89
评审专家1,70,52.03
评审专家30,56,50.45
评审专家29,64,51.38
评审专家19,61,40.85
评审专家23,61,45.52
评审专家40,58,38.58
评审专家42,80,66.01
评审专家23,70,55.78
评审专家32,68,54.06
评审专家13,55,40.78
评审专家39,66,46.86
评审专家37,65,56.05
评审专家5,77,59.89
评审专家30,74,60.00
评审专家32,60,43.28
评审专家25,55,43.58
评审专家18,55,40.98
评审专家3,80,69.19
评审专家40,72,56.23
评审专家42,65,53.24
评审专家12,55,43.93
评审专家15,74,61.63
评审专家16,64,48.50
评审专家32,63,47.32
评审专家29,66,53.73
评审专家30,45,32.20
评审专家35,70,58.24
评审专家2,65,51.85
评审专家32,66,51.37
评审专家23,60,44.38
评审专家9,71,63.53
评审专家14,59,50.66
评审专家11,64,47.00
评审专家35,65,49.26
评审专家13,63,50.31
评审专家43,57,43.01
评审专家21,57,50.19
评审专家32,65,50.02
评审专家26,56,47.02
评审专家6,81,83.51
评审专家35,68,54.65
评审专家2,55,34.33
评审专家16,84,36.16
评审专家37,66,57.32
评审专家35,65,49.26
评审专家30,53,45.47
评审专家19,66,49.16
评审专家4,73,62.03
评审专家36,60,36.67
评审专家2,74,67.62
评审专家42,52,42.19
评审专家19,60,39.19
评审专家6,65,56.17
评审专家21,52,40.63
评审专家13,60,46.74
评审专家20,55,45.99
评审专家12,60,48.98
评审专家32,74,62.15
评审专家34,67,54.20
评审专家12,70,59.07
评审专家31,67,51.05
评审专家8,70,55.84
评审专家42,55,44.74
评审专家16,49,32.26
评审专家1,65,45.81
评审专家5,57,37.77
评审专家33,69,54.21
评审专家10,65,56.66
评审专家14,62,54.24
评审专家40,69,52.45
评审专家3,64,42.72
评审专家4,60,40.44
评审专家31,65,49.12
评审专家20,45,37.04
评审专家34,68,55.64
评审专家21,57,50.19
评审专家33,64,46.41
评审专家7,61,42.11
评审专家13,52,37.21
评审专家4,68,53.73
评审专家37,70,62.39
评审专家31,50,34.63
评审专家36,62,40.42
评审专家7,66,49.49
评审专家18,60,46.64
评审专家5,66,47.72
评审专家28,76,64.54
评审专家10,60,50.69
评审专家3,62,39.41
评审专家4,62,43.76
评审专家5,59,39.98
评审专家32,57,39.24
评审专家14,55,45.90
评审专家14,53,43.51
评审专家24,61,42.63
评审专家23,60,44.38
评审专家40,66,48.67
评审专家9,49,42.66
评审专家42,53,43.04
评审专家43,62,49.41
评审专家45,60,52.21
评审专家43,56,41.72
评审专家32,65,50.02
评审专家6,66,57.88
评审专家41,59,40.02
评审专家25,70,60.61
评审专家19,68,52.48
评审专家2,72,64.12
评审专家11,75,62.20
评审专家16,69,53.91
评审专家30,53,45.47
评审专家6,55,39.09
评审专家15,56,38.80
评审专家1,52,49.63
评审专家33,68,52.65
评审专家15,78,66.71
评审专家1,55,33.37
评审专家36,75,64.84
评审专家16,59,43.09
评审专家30,57,52.11
评审专家1,78,61.98
评审专家29,54,39.62
评审专家4,72,48.00
评审专家4,66,50.40
评审专家29,63,50.20
评审专家8,63,47.27
评审专家29,58,44.32
评审专家18,73,61.35
评审专家32,67,52.71
评审专家3,73,57.61
评审专家24,65,47.37
评审专家27,58,42.28
评审专家16,59,43.09
评审专家45,50,40.82
评审专家30,59,55.43
评审专家30,54,47.13
评审专家40,72,56.23
评审专家6,60,47.63
评审专家6,55,39.09
评审专家2,80,78.13
评审专家43,75,60.00
评审专家33,58,37.06
评审专家17,75,55.84
评审专家41,62,44.49
评审专家6,64,54.47
评审专家4,65,48.74
评审专家6,55,39.09
评审专家15,61,45.14
评审专家5,69,51.04
评审专家32,63,47.32
评审专家42,56,45.59
评审专家12,66,55.03
评审专家43,82,75.05
评审专家31,72,55.88
评审专家19,73,60.79
评审专家11,74,60.82
评审专家3,67,47.68
评审专家19,87,84.05
评审专家31,74,57.81
评审专家20,75,63.89
评审专家29,61,47.85
评审专家1,56,34.61
评审专家29,60,46.68
评审专家1,78,61.98
评审专家1,59,38.34
评审专家11,58,38.71
评审专家6,65,56.17
评审专家10,55,44.73
评审专家2,60,43.09
评审专家1,62,42.07
评审专家13,68,56.27
评审专家14,76,70.92
评审专家8,53,35.02
评审专家16,66,50.66
评审专家45,58,49.93
评审专家10,60,50.69
评审专家44,64,44.10
评审专家25,58,46.98
评审专家21,52,40.63
评审专家37,51,38.30
评审专家18,70,57.96
评审专家30,52,43.81
评审专家28,80,70.60
评审专家4,70,57.05
评审专家25,53,41.30
评审专家18,58,44.37
评审专家2,65,51.85
评审专家44,70,56.61
评审专家41,59,40.02
评审专家11,62,44.24
评审专家13,64,51.50
评审专家40,67,49.93
评审专家45,60,52.21
评审专家10,50,38.76
评审专家22,75,54.93
评审专家37,58,47.17
评审专家11,63,45.62
评审专家1,77,60.74
评审专家18,63,50.03
评审专家27,72,64.53
评审专家33,71,57.33
评审专家12,50,38.88
评审专家40,65,47.41
评审专家45,51,41.96
评审专家35,68,54.65
评审专家28,63,44.88
评审专家45,82,77.28
评审专家23,61,45.52
评审专家30,54,47.13
评审专家21,53,42.54
评审专家1,66,47.05
评审专家9,67,59.73
评审专家11,75,62.20
评审专家18,75,63.62
评审专家31,82,65.53
评审专家2,57,37.84
评审专家19,61,40.85
评审专家3,78,65.88
评审专家6,66,57.88
评审专家15,62,46.41
评审专家42,62,50.69
评审专家45,46,36.26
评审专家35,67,52.85
评审专家33,71,57.33
评审专家13,58,44.36
评审专家9,56,49.30
评审专家1,54,32.12
评审专家4,52,35.00
评审专家43,76,62.00
评审专家20,60,50.47
评审专家15,65,50.22
评审专家15,65,50.22
评审专家18,60,46.64
评审专家11,60,41.48
评审专家14,65,57.81
评审专家5,62,43.30
评审专家14,59,50.66
评审专家26,56,47.02
评审专家35,70,58.24
评审专家5,83,66.53
评审专家21,50,36.80
评审专家7,74,61.29
评审专家43,54,39.16
评审专家14,73,67.35
评审专家28,65,47.90
评审专家18,60,46.64
评审专家22,60,43.80
评审专家44,68,52.44
评审专家5,82,65.42
评审专家28,65,47.90
评审专家7,74,31.29
评审专家24,77,61.61
评审专家1,72,54.51
评审专家22,82,60.13
评审专家18,58,44.37
评审专家29,84,74.88
评审专家11,85,56.01
评审专家24,54,34.33
评审专家25,51,39.03
评审专家8,52,33.80
评审专家25,52,40.17
评审专家21,54,44.45
评审专家35,66,51.05
评审专家8,75,61.97
评审专家26,66,62.01
评审专家14,50,39.94
评审专家33,65,47.97
评审专家33,65,47.97
评审专家37,44,39.42
评审专家40,58,38.58
评审专家42,65,53.24
评审专家32,69,55.41
评审专家5,65,46.62
评审专家4,68,53.73
评审专家42,49,39.63
评审专家23,66,51.22
评审专家18,58,44.37
评审专家30,56,50.45
评审专家8,68,53.39
评审专家32,64,48.67
评审专家28,58,37.31
评审专家45,76,70.45
评审专家4,77,68.68
评审专家18,85,60.00
评审专家4,66,50.40
评审专家11,75,62.20
评审专家1,57,35.85
评审专家28,62,43.36
评审专家3,63,41.07
评审专家3,69,50.99
评审专家36,60,36.67
评审专家29,76,65.48
评审专家11,65,48.38
评审专家35,64,47.46
评审专家1,79,63.22
评审专家1,74,57.00
评审专家45,65,57.91
评审专家39,78,62.47
评审专家2,60,43.09
评审专家4,68,53.73
评审专家32,60,43.28
评审专家20,80,45.00
评审专家9,54,47.40
评审专家10,50,38.76
评审专家29,71,59.60
评审专家35,80,76.21
评审专家14,40,28.02
评审专家23,76,62.62
评审专家42,43,34.53
评审专家1,76,50.49
评审专家5,53,33.34
评审专家31,64,48.15
评审专家11,67,51.15
评审专家36,60,36.67
评审专家25,54,42.44
评审专家28,70,55.47
评审专家1,75,58.25
评审专家34,57,39.78
评审专家22,74,54.19
评审专家28,63,44.88
评审专家9,59,52.14
评审专家3,60,36.10
评审专家19,68,52.48
评审专家9,71,63.53
评审专家36,70,55.45
评审专家36,70,55.45
评审专家42,74,60.90
评审专家28,80,60.60
评审专家12,45,43.83
评审专家30,61,58.74
评审专家18,65,52.30
评审专家24,55,35.51
评审专家6,66,57.88
评审专家21,52,40.63
评审专家37,46,47.95
评审专家44,67,50.36
评审专家28,63,44.88
评审专家32,59,41.93
评审专家41,72,59.40
评审专家43,61,48.13
评审专家31,53,47.53
评审专家21,55,46.37
评审专家35,65,49.26
评审专家34,65,51.32
评审专家3,70,52.65
评审专家24,66,48.56
评审专家44,68,52.44
评审专家37,70,62.39
评审专家35,62,43.87
评审专家28,68,52.44
评审专家4,70,57.05
评审专家27,48,38.00
评审专家20,45,37.04
评审专家26,57,48.52
评审专家44,69,54.53
评审专家13,60,46.74
评审专家36,65,46.06
评审专家13,82,72.94
评审专家37,69,61.12
评审专家10,70,62.62
评审专家29,52,37.27
评审专家4,55,35.00
评审专家23,75,61.48
评审专家5,69,51.04
评审专家31,63,47.19
评审专家32,61,44.63
评审专家12,60,48.98
评审专家36,75,64.84
评审专家30,65,55.38
评审专家45,54,55.00
评审专家15,59,42.61
评审专家5,80,63.21
评审专家9,45,38.87
评审专家16,48,31.17
评审专家29,57,43.15
评审专家30,67,68.69
评审专家40,73,57.49
评审专家45,64,56.77
评审专家28,59,38.83
评审专家31,53,37.53
评审专家36,70,55.45
评审专家27,55,37.51
评审专家22,79,57.90
评审专家16,58,42.00
评审专家13,50,34.83
评审专家19,66,49.16
评审专家7,60,40.63
评审专家11,80,69.10
评审专家44,58,41.00
评审专家17,62,37.95
评审专家14,48,37.56
评审专家14,54,44.71
评审专家20,55,45.99
评审专家17,73,53.09
评审专家20,55,45.99
评审专家32,64,48.67
评审专家6,63,52.76
评审专家43,70,59.67
评审专家12,70,59.07
评审专家2,68,57.11
评审专家41,73,55.00
评审专家36,70,55.45
评审专家11,65,48.38
评审专家9,56,49.30
评审专家28,58,37.31
评审专家15,71,57.83
评审专家26,55,45.52
评审专家24,81,66.35
评审专家39,76,59.87
评审专家22,49,35.63
评审专家42,49,39.63
评审专家41,57,37.04
评审专家42,53,43.04
评审专家36,72,59.20
评审专家18,48,40.00
评审专家27,59,43.87
评审专家17,85,69.60
评审专家44,68,52.44
评审专家1,81,65.71
评审专家35,57,34.88
评审专家4,58,37.11
评审专家35,62,43.87
评审专家44,70,56.61
评审专家1,79,63.22
评审专家1,79,63.22
评审专家28,71,56.98
评审专家29,64,51.38
评审专家21,53,42.54
评审专家24,64,46.19
评审专家6,61,49.34
评审专家24,73,56.86
评审专家2,61,44.85
评审专家32,80,68.00
评审专家41,53,31.08
评审专家43,78,69.92
评审专家15,74,61.63
评审专家21,56,48.28
评审专家1,73,55.76
评审专家27,61,47.05
评审专家13,65,52.69
评审专家4,60,40.44
评审专家34,57,39.78
评审专家24,82,67.54
评审专家29,74,63.13
评审专家43,55,40.44
评审专家11,80,69.10
评审专家37,59,48.44
评审专家34,62,46.99
评审专家22,48,34.89
评审专家24,78,62.79
评审专家39,75,58.57
评审专家42,40,31.98
评审专家7,68,52.44
评审专家20,65,54.94
评审专家39,52,28.65
评审专家29,56,41.97
评审专家35,68,54.65
评审专家28,72,58.49
评审专家22,51,37.12
评审专家25,63,52.66
评审专家41,73,60.89
评审专家7,80,70.15
评审专家24,59,40.26
评审专家33,71,57.33
评审专家23,61,45.52
评审专家6,55,39.09
评审专家32,57,39.24
评审专家36,70,55.45
评审专家17,74,54.46
评审专家17,65,42.08
评审专家10,80,74.56
评审专家2,52,29.08
评审专家34,79,71.51
评审专家30,55,48.79
评审专家44,75,67.03
评审专家41,57,37.04
评审专家13,55,40.78
评审专家27,66,55.00
评审专家31,79,62.63
评审专家24,83,68.72
评审专家44,64,44.10
评审专家31,59,43.32
评审专家22,45,32.66
评审专家45,68,61.33
评审专家14,57,48.28
评审专家16,52,35.51
评审专家17,65,42.08
评审专家1,71,53.27
评审专家36,65,46.06
评审专家15,77,65.44
评审专家17,81,58.00
评审专家15,79,67.98
评审专家42,80,66.01
评审专家20,70,59.42
评审专家5,56,36.66
评审专家33,66,49.53
评审专家13,80,70.56
评审专家42,80,66.01
评审专家6,50,30.55
评审专家23,72,58.06
评审专家25,65,54.93
评审专家37,68,59.86
评审专家43,65,53.26
评审专家27,58,42.28
评审专家17,56,29.70
评审专家30,62,60.40
评审专家17,75,55.84
评审专家6,58,44.22
评审专家43,58,44.29
评审专家36,60,36.67
评审专家23,68,53.50
评审专家35,77,58.00
评审专家28,69,53.95
评审专家15,78,66.71
评审专家36,58,32.91
评审专家15,67,52.75
评审专家23,52,35.27
评审专家8,65,49.72
评审专家20,60,50.47
评审专家44,64,44.10
评审专家25,84,76.51
评审专家26,50,38.03
评审专家41,71,57.91
评审专家41,59,40.02
评审专家32,58,40.58
评审专家22,88,64.58
评审专家30,52,43.81
评审专家8,60,43.60
评审专家43,69,58.39
评审专家24,78,62.79
评审专家16,72,57.16
评审专家31,80,53.60
评审专家11,60,41.48
评审专家10,50,38.76
评审专家18,53,38.71
评审专家24,72,55.68
评审专家8,72,58.29
评审专家37,60,49.71
评审专家14,79,74.50
评审专家25,72,62.88
评审专家1,81,65.71
评审专家26,50,38.03
评审专家5,79,62.11
评审专家21,57,50.19
评审专家28,65,47.90
评审专家25,57,45.85
评审专家8,65,49.72
评审专家37,54,42.10
评审专家17,68,46.21
评审专家40,75,60.01
评审专家25,82,65.00
评审专家30,43,28.89
评审专家5,74,56.57
评审专家4,60,40.44
评审专家33,62,43.30
评审专家12,56,44.94
评审专家43,53,37.88
评审专家17,72,51.71
评审专家17,68,46.21
评审专家40,55,34.80
评审专家12,80,69.17
评审专家34,67,54.20
评审专家32,72,59.45
评审专家12,50,38.88
评审专家31,71,54.91
评审专家20,70,59.42
评审专家44,65,46.19
评审专家31,59,43.32
评审专家41,56,35.55
评审专家40,62,43.62
评审专家21,65,65.49
评审专家26,62,56.02
评审专家4,68,53.73
评审专家26,57,48.52
评审专家5,73,55.47
评审专家4,67,52.06
评审专家5,80,63.21
评审专家2,63,48.35
评审专家26,50,38.03
评审专家18,70,57.96
评审专家29,77,66.65
评审专家31,58,42.36
评审专家31,78,61.67
评审专家19,80,72.42
评审专家15,56,38.80
评审专家44,64,44.10
评审专家3,63,41.07
评审专家43,60,46.85
评审专家24,76,60.42
评审专家13,76,65.79
评审专家2,64,50.10
评审专家15,61,45.14
评审专家27,57,40.69
评审专家40,51,29.76
评审专家4,73,62.03
评审专家24,55,35.51
评审专家27,65,53.41
评审专家4,60,40.44
评审专家13,62,49.12
评审专家16,74,59.33
评审专家30,60,57.08
评审专家11,60,41.48
评审专家6,70,64.71
评审专家9,51,44.56
评审专家12,70,59.07
评审专家10,70,62.62
评审专家43,57,43.01
评审专家26,50,38.03
评审专家29,64,51.38
评审专家27,55,37.51
评审专家30,62,60.40
评审专家13,58,44.36
评审专家23,75,61.48
评审专家13,68,56.27
评审专家36,60,36.67
评审专家2,61,44.85
评审专家14,43,31.60
评审专家11,65,48.38
评审专家37,75,68.73
评审专家40,70,53.71
评审专家17,77,58.59
评审专家25,73,64.02
评审专家10,60,50.69
评审专家19,76,65.77
评审专家17,70,48.96
评审专家5,80,63.21
评审专家16,74,59.33
评审专家4,77,68.68
评审专家43,66,54.54
评审专家18,73,61.35
评审专家17,80,62.72
评审专家11,54,33.19
评审专家13,58,44.36
评审专家42,75,61.75
评审专家37,64,54.78
评审专家34,57,39.78
评审专家40,74,58.75
评审专家27,63,50.23
评审专家26,67,63.51
评审专家11,58,38.71
评审专家27,82,80.43
评审专家44,78,73.29
评审专家24,58,50.00
评审专家44,69,54.53
评审专家44,60,45.76
评审专家40,78,63.80
评审专家40,75,60.01
评审专家40,50,40.00
评审专家33,69,54.21
评审专家33,58,46.06
评审专家33,78,60.24
评审专家33,48,47.47
评审专家40,75,60.01
